epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12389,1.8847,3.33502,2.09328,0.01365,0.52,0.11321,0.06789,1.7584,3.52118,1.47556,0,0,0
2,4.27614,2.30713,3.68764,2.6897,0.01251,0.48,0.10691,0.06411,1.76159,3.52747,1.4758,1.1e-05,1.1e-05,1.1e-05
3,5.2477,1.79041,3.47201,1.97174,0.01422,0.52,0.10796,0.06473,1.75669,3.53353,1.47717,2.178e-05,2.178e-05,2.178e-05
4,6.18123,2.23074,3.68297,2.24693,0.01355,0.48,0.10856,0.06501,1.75495,3.53666,1.47594,3.23401e-05,3.23401e-05,3.23401e-05
5,7.12476,2.1091,3.62755,2.79887,0.0138,0.48,0.10797,0.06469,1.75185,3.54456,1.4764,4.26802e-05,4.26802e-05,4.26802e-05
6,8.05939,2.0266,3.52787,2.36086,0.01186,0.44,0.10721,0.06427,1.75218,3.55014,1.47529,5.28003e-05,5.28003e-05,5.28003e-05
7,9.00534,1.83369,3.2931,1.93866,0.01223,0.44,0.10777,0.0646,1.75188,3.54587,1.47491,6.27004e-05,6.27004e-05,6.27004e-05
8,9.97505,2.09865,3.51713,2.47132,0.26803,0.44,0.25139,0.13589,1.8557,2.42343,1.47947,7.23805e-05,7.23805e-05,7.23805e-05
9,11.2004,1.82092,2.85263,1.93909,0.43194,0.77291,0.42975,0.16882,2.36831,2.06211,1.62495,8.18407e-05,8.18407e-05,8.18407e-05
10,12.4675,1.71999,2.17744,1.73221,0.46112,0.81284,0.43153,0.16632,2.37868,2.0581,1.62974,9.10809e-05,9.10809e-05,9.10809e-05
11,13.7559,1.72148,2.03069,1.76324,0.38894,0.72,0.44742,0.09266,3.02242,2.11497,1.86401,0.000100101,0.000100101,0.000100101
12,15.0907,1.72858,1.93392,1.68421,0.45032,0.67825,0.59795,0.12122,3.1001,2.06023,1.91427,0.000108901,0.000108901,0.000108901
13,16.622,1.86466,1.84667,1.67063,0.61842,0.69608,0.8201,0.29811,2.52008,1.72841,1.55993,0.000117482,0.000117482,0.000117482
14,17.9137,1.79742,1.50134,1.76514,0.77914,0.78258,0.86484,0.35548,2.34665,1.52492,1.53229,0.000125842,0.000125842,0.000125842
15,19.1378,1.83473,1.739,1.72575,0.74637,0.98873,0.94667,0.35122,2.39036,1.47515,1.59655,0.000133982,0.000133982,0.000133982
16,20.4293,1.71553,1.39741,1.59959,0.80916,0.76386,0.89969,0.24078,2.86154,1.77621,1.93595,0.000141902,0.000141902,0.000141902
17,21.5539,1.80644,1.49056,1.56532,0.742,0.87433,0.92818,0.22447,2.92356,1.69287,1.92856,0.000149603,0.000149603,0.000149603
18,22.8123,1.5822,1.35587,1.68703,0.742,0.87433,0.92818,0.22447,2.92356,1.69287,1.92856,0.000157083,0.000157083,0.000157083
19,23.913,1.87149,1.36993,1.63253,0.87028,0.87689,0.92012,0.25273,2.81744,1.24224,1.84834,0.000164344,0.000164344,0.000164344
20,25.0482,1.80291,1.46873,1.75251,0.87028,0.87689,0.92012,0.25273,2.81744,1.24224,1.84834,0.000171384,0.000171384,0.000171384
21,26.1788,1.67403,1.2568,1.76133,0.82404,0.94889,0.97214,0.30219,2.66711,1.23651,1.70832,0.000178204,0.000178204,0.000178204
22,27.3019,1.69654,1.40956,1.75222,0.82404,0.94889,0.97214,0.30219,2.66711,1.23651,1.70832,0.000184805,0.000184805,0.000184805
23,28.5814,1.55096,1.2741,1.53655,0.8238,0.96514,0.97214,0.29986,2.66665,1.21256,1.76538,0.000191185,0.000191185,0.000191185
24,29.6782,1.57747,1.29128,1.66251,0.8238,0.96514,0.97214,0.29986,2.66665,1.21256,1.76538,0.000197346,0.000197346,0.000197346
25,31.0111,1.81304,1.33461,1.73548,0.84972,0.97066,0.97557,0.23915,2.85926,1.30023,2.13185,0.000203286,0.000203286,0.000203286
26,32.1918,1.5889,1.00444,1.54324,0.84972,0.97066,0.97557,0.23915,2.85926,1.30023,2.13185,0.000209007,0.000209007,0.000209007
27,33.3694,1.47933,1.18883,1.6368,0.84031,0.96,0.949,0.24411,2.73016,1.35121,2.09466,0.000214507,0.000214507,0.000214507
28,34.4783,1.53809,1.31001,1.69163,0.84031,0.96,0.949,0.24411,2.73016,1.35121,2.09466,0.000219788,0.000219788,0.000219788
29,35.5675,1.68922,1.26718,1.6951,0.85812,0.96,0.96833,0.341,2.37951,1.07494,1.81423,0.000224849,0.000224849,0.000224849
30,36.6975,1.43806,1.0721,1.47952,0.85812,0.96,0.96833,0.341,2.37951,1.07494,1.81423,0.000229689,0.000229689,0.000229689
31,37.8533,1.36106,0.99928,1.4386,0.91587,0.97109,0.995,0.36577,2.33052,0.91805,1.7711,0.00023431,0.00023431,0.00023431
32,39.0499,1.65355,1.03942,1.52169,0.91587,0.97109,0.995,0.36577,2.33052,0.91805,1.7711,0.000238711,0.000238711,0.000238711
33,40.2646,1.42709,0.99941,1.60801,0.82244,0.97744,0.995,0.37835,2.33242,0.93271,1.73329,0.000242891,0.000242891,0.000242891
34,41.4285,1.40733,0.96292,1.37308,0.82244,0.97744,0.995,0.37835,2.33242,0.93271,1.73329,0.000246852,0.000246852,0.000246852
35,42.6158,1.67024,1.17197,1.60536,0.8295,0.88928,0.90804,0.29237,2.58675,1.1187,1.93731,0.000250593,0.000250593,0.000250593
36,43.737,1.4076,1.12865,1.57882,0.8295,0.88928,0.90804,0.29237,2.58675,1.1187,1.93731,0.000254113,0.000254113,0.000254113
